Fighter 0 Round 1 KD,Fighter 1 Round 1 KD,Fighter 0 Round 1 Sig. str.,Fighter 1 Round 1 Sig. str.,Fighter 0 Round 1 Sig. str. %,Fighter 1 Round 1 Sig. str. %,Fighter 0 Round 1 Total str.,Fighter 1 Round 1 Total str.,Fighter 0 Round 1 Td,Fighter 1 Round 1 Td,Fighter 0 Round 1 Td %,Fighter 1 Round 1 Td %,Fighter 0 Round 1 Sub. att,Fighter 1 Round 1 Sub. att,Fighter 0 Round 1 Rev.,Fighter 1 Round 1 Rev.,Fighter 0 Round 1 Ctrl,Fighter 1 Round 1 Ctrl,Fighter 0 Name,Fighter 1 Name,Fighter 0 Round 2 KD,Fighter 1 Round 2 KD,Fighter 0 Round 2 Sig. str.,Fighter 1 Round 2 Sig. str.,Fighter 0 Round 2 Sig. str. %,Fighter 1 Round 2 Sig. str. %,Fighter 0 Round 2 Total str.,Fighter 1 Round 2 Total str.,Fighter 0 Round 2 Td,Fighter 1 Round 2 Td,Fighter 0 Round 2 Td %,Fighter 1 Round 2 Td %,Fighter 0 Round 2 Sub. att,Fighter 1 Round 2 Sub. att,Fighter 0 Round 2 Rev.,Fighter 1 Round 2 Rev.,Fighter 0 Round 2 Ctrl,Fighter 1 Round 2 Ctrl,Fighter 0 Round 3 KD,Fighter 1 Round 3 KD,Fighter 0 Round 3 Sig. str.,Fighter 1 Round 3 Sig. str.,Fighter 0 Round 3 Sig. str. %,Fighter 1 Round 3 Sig. str. %,Fighter 0 Round 3 Total str.,Fighter 1 Round 3 Total str.,Fighter 0 Round 3 Td,Fighter 1 Round 3 Td,Fighter 0 Round 3 Td %,Fighter 1 Round 3 Td %,Fighter 0 Round 3 Sub. att,Fighter 1 Round 3 Sub. att,Fighter 0 Round 3 Rev.,Fighter 1 Round 3 Rev.,Fighter 0 Round 3 Ctrl,Fighter 1 Round 3 Ctrl,Fighter 0 Round 1 Sig. str,Fighter 1 Round 1 Sig. str,Fighter 0 Round 1 Head,Fighter 1 Round 1 Head,Fighter 0 Round 1 Body,Fighter 1 Round 1 Body,Fighter 0 Round 1 Leg,Fighter 1 Round 1 Leg,Fighter 0 Round 1 Distance,Fighter 1 Round 1 Distance,Fighter 0 Round 1 Clinch,Fighter 1 Round 1 Clinch,Fighter 0 Round 1 Ground,Fighter 1 Round 1 Ground,Fighter 0 Round 2 Sig. str,Fighter 1 Round 2 Sig. str,Fighter 0 Round 2 Head,Fighter 1 Round 2 Head,Fighter 0 Round 2 Body,Fighter 1 Round 2 Body,Fighter 0 Round 2 Leg,Fighter 1 Round 2 Leg,Fighter 0 Round 2 Distance,Fighter 1 Round 2 Distance,Fighter 0 Round 2 Clinch,Fighter 1 Round 2 Clinch,Fighter 0 Round 2 Ground,Fighter 1 Round 2 Ground,Fighter 0 Round 3 Sig. str,Fighter 1 Round 3 Sig. str,Fighter 0 Round 3 Head,Fighter 1 Round 3 Head,Fighter 0 Round 3 Body,Fighter 1 Round 3 Body,Fighter 0 Round 3 Leg,Fighter 1 Round 3 Leg,Fighter 0 Round 3 Distance,Fighter 1 Round 3 Distance,Fighter 0 Round 3 Clinch,Fighter 1 Round 3 Clinch,Fighter 0 Round 3 Ground,Fighter 1 Round 3 Ground,Winner,Method,Fighter 0 Round 4 KD,Fighter 1 Round 4 KD,Fighter 0 Round 4 Sig. str.,Fighter 1 Round 4 Sig. str.,Fighter 0 Round 4 Sig. str. %,Fighter 1 Round 4 Sig. str. %,Fighter 0 Round 4 Total str.,Fighter 1 Round 4 Total str.,Fighter 0 Round 4 Td,Fighter 1 Round 4 Td,Fighter 0 Round 4 Td %,Fighter 1 Round 4 Td %,Fighter 0 Round 4 Sub. att,Fighter 1 Round 4 Sub. att,Fighter 0 Round 4 Rev.,Fighter 1 Round 4 Rev.,Fighter 0 Round 4 Ctrl,Fighter 1 Round 4 Ctrl,Fighter 0 Round 5 KD,Fighter 1 Round 5 KD,Fighter 0 Round 5 Sig. str.,Fighter 1 Round 5 Sig. str.,Fighter 0 Round 5 Sig. str. %,Fighter 1 Round 5 Sig. str. %,Fighter 0 Round 5 Total str.,Fighter 1 Round 5 Total str.,Fighter 0 Round 5 Td,Fighter 1 Round 5 Td,Fighter 0 Round 5 Td %,Fighter 1 Round 5 Td %,Fighter 0 Round 5 Sub. att,Fighter 1 Round 5 Sub. att,Fighter 0 Round 5 Rev.,Fighter 1 Round 5 Rev.,Fighter 0 Round 5 Ctrl,Fighter 1 Round 5 Ctrl,Fighter 0 Round 4 Sig. str,Fighter 1 Round 4 Sig. str,Fighter 0 Round 4 Head,Fighter 1 Round 4 Head,Fighter 0 Round 4 Body,Fighter 1 Round 4 Body,Fighter 0 Round 4 Leg,Fighter 1 Round 4 Leg,Fighter 0 Round 4 Distance,Fighter 1 Round 4 Distance,Fighter 0 Round 4 Clinch,Fighter 1 Round 4 Clinch,Fighter 0 Round 4 Ground,Fighter 1 Round 4 Ground,Fighter 0 Round 5 Sig. str,Fighter 1 Round 5 Sig. str,Fighter 0 Round 5 Head,Fighter 1 Round 5 Head,Fighter 0 Round 5 Body,Fighter 1 Round 5 Body,Fighter 0 Round 5 Leg,Fighter 1 Round 5 Leg,Fighter 0 Round 5 Distance,Fighter 1 Round 5 Distance,Fighter 0 Round 5 Clinch,Fighter 1 Round 5 Clinch,Fighter 0 Round 5 Ground,Fighter 1 Round 5 Ground,Fighter 0 Round 1 SC 1,Fighter 0 Round 1 SC 2,Fighter 0 Round 1 SC 3,Fighter 0 Round 2 SC 1,Fighter 0 Round 2 SC 2,Fighter 0 Round 2 SC 3,Fighter 0 Round 3 SC 1,Fighter 0 Round 3 SC 2,Fighter 0 Round 3 SC 3,Fighter 0 Round 4 SC 1,Fighter 0 Round 4 SC 2,Fighter 0 Round 4 SC 3,Fighter 0 Round 5 SC 1,Fighter 0 Round 5 SC 2,Fighter 0 Round 5 SC 3,Fighter 0 SC 1 Total,Fighter 0 SC 2 Total,Fighter 0 SC 3 Total,Fighter 1 Round 1 SC 1,Fighter 1 Round 1 SC 2,Fighter 1 Round 1 SC 3,Fighter 1 Round 2 SC 1,Fighter 1 Round 2 SC 2,Fighter 1 Round 2 SC 3,Fighter 1 Round 3 SC 1,Fighter 1 Round 3 SC 2,Fighter 1 Round 3 SC 3,Fighter 1 Round 4 SC 1,Fighter 1 Round 4 SC 2,Fighter 1 Round 4 SC 3,Fighter 1 Round 5 SC 1,Fighter 1 Round 5 SC 2,Fighter 1 Round 5 SC 3,Fighter 1 SC 1 Total,Fighter 1 SC 2 Total,Fighter 1 SC 3 Total
0,1,22,28,68,56.0,36,42,0,0,0.0,0.0,0,0,0,0,97,64,Brandon Moreno,Alexandre Pantoja,0.0,0.0,41.0,33.0,53.0,44.0,41.0,36.0,2.0,0.0,100.0,,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,26.0,23.0,55.0,47.0,29.0,25.0,0.0,2.0,,66.0,0.0,0.0,2.0,0.0,37.0,121.0,22,28,20,23,2,4,0,1,20,19,2,4,0,5,41.0,33.0,37.0,27.0,4.0,6.0,0.0,0.0,38.0,31.0,1.0,1.0,2.0,1.0,26.0,23.0,24.0,14.0,1.0,8.0,1.0,1.0,22.0,15.0,0.0,2.0,4.0,6.0,1,S-DEC,0.0,0.0,31.0,20.0,64.0,40.0,34.0,23.0,0.0,3.0,,75.0,0.0,0.0,1.0,0.0,24.0,184.0,0.0,0.0,27.0,25.0,65.0,48.0,27.0,35.0,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,0.0,137.0,31.0,20.0,27.0,18.0,4.0,1.0,0.0,1.0,23.0,15.0,7.0,5.0,1.0,0.0,27.0,25.0,25.0,24.0,2.0,1.0,0.0,0.0,25.0,24.0,2.0,1.0,0.0,0.0,9,9,9,10,10,10,10,9,9,10,10,10,10,9,9,49,47,47,10,10,10,9,9,9,9,10,10,9,9,9,9,10,10,46,48,48
0,0,34,38,49,70.0,34,39,0,0,,0.0,0,0,0,0,0,0,Jalin Turner,Dan Hooker,0.0,0.0,34.0,44.0,56.0,54.0,34.0,48.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,32.0,43.0,66.0,69.0,45.0,85.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,18.0,173.0,34,38,16,16,13,8,5,14,30,35,4,3,0,0,34.0,44.0,23.0,27.0,9.0,9.0,2.0,8.0,25.0,38.0,9.0,6.0,0.0,0.0,32.0,43.0,24.0,34.0,8.0,8.0,0.0,1.0,23.0,27.0,5.0,10.0,4.0,6.0,1,S-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9,9,9,10,9,9,,,,,,,29,28,28,9,9,9,10,10,10,9,10,10,,,,,,,28,29,29
0,1,27,6,90,60.0,36,6,0,0,,,0,1,1,0,163,11,Tatsuro Taira,Edgar Chairez,0.0,0.0,17.0,4.0,65.0,57.0,57.0,5.0,1.0,0.0,100.0,,1.0,0.0,0.0,0.0,250.0,14.0,0.0,0.0,17.0,15.0,77.0,71.0,28.0,15.0,1.0,0.0,50.0,,0.0,1.0,0.0,1.0,180.0,0.0,27,6,18,2,0,1,9,3,11,6,0,0,16,0,17.0,4.0,16.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,16.0,0.0,17.0,15.0,6.0,10.0,2.0,4.0,9.0,1.0,14.0,15.0,0.0,0.0,3.0,0.0,0,U-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,9,9,9,,,,,,,29,29,29,9,9,9,8,8,8,10,10,10,,,,,,,27,27,27
0,0,2,1,100,50.0,29,3,1,0,100.0,,1,0,0,0,277,0,Kamuela Kirk,Esteban Ribovics,0.0,0.0,35.0,65.0,52.0,55.0,36.0,71.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,19.0,49.0,50.0,59.0,21.0,61.0,2.0,1.0,22.0,100.0,0.0,0.0,0.0,0.0,103.0,29.0,2,1,2,0,0,0,0,1,2,1,0,0,0,0,35.0,65.0,20.0,58.0,9.0,6.0,6.0,1.0,31.0,55.0,4.0,4.0,0.0,6.0,19.0,49.0,14.0,36.0,3.0,11.0,2.0,2.0,18.0,36.0,1.0,6.0,0.0,7.0,1,U-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9,9,9,9,9,9,,,,,,,28,28,28,9,9,9,10,10,10,10,10,10,,,,,,,29,29,29
0,0,2,23,33,65.0,4,44,0,1,,50.0,0,0,0,0,5,235,Damir Ismagulov,Grant Dawson,0.0,0.0,10.0,5.0,55.0,27.0,14.0,22.0,0.0,1.0,,100.0,0.0,1.0,0.0,0.0,0.0,237.0,0.0,0.0,1.0,2.0,25.0,50.0,17.0,18.0,0.0,1.0,,50.0,0.0,0.0,1.0,0.0,3.0,272.0,2,23,1,21,1,1,0,1,2,4,0,1,0,18,10.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1,U-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,9,9,9,9,9,,,,,,,26,27,27,10,10,10,10,10,10,10,10,10,,,,,,,30,30,30
0,0,11,15,42,37.0,13,15,0,0,0.0,,0,0,0,0,74,5,Max Griffin,Michael Morales,0.0,0.0,15.0,31.0,39.0,44.0,15.0,31.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,10.0,26.0,26.0,48.0,11.0,27.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,51.0,20.0,11,15,8,9,1,3,2,3,11,13,0,2,0,0,15.0,31.0,10.0,30.0,3.0,1.0,2.0,0.0,14.0,29.0,1.0,2.0,0.0,0.0,10.0,26.0,10.0,20.0,0.0,1.0,0.0,5.0,10.0,26.0,0.0,0.0,0.0,0.0,1,U-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9,9,9,9,9,9,,,,,,,28,28,28,9,9,9,10,10,10,10,10,10,,,,,,,29,29,29
0,0,16,28,32,52.0,18,28,0,0,,0.0,0,0,0,0,0,17,Ariane Lipski,Melissa Gatto,0.0,0.0,26.0,33.0,56.0,50.0,39.0,45.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,136.0,0.0,0.0,24.0,24.0,44.0,35.0,24.0,27.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,35.0,24.0,16,28,3,13,9,10,4,5,14,25,2,3,0,0,26.0,33.0,10.0,11.0,12.0,17.0,4.0,5.0,18.0,23.0,8.0,10.0,0.0,0.0,24.0,24.0,15.0,15.0,6.0,7.0,3.0,2.0,21.0,22.0,2.0,2.0,1.0,0.0,0,S-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,9,9,10,10,10,10,10,,,,,,,28,30,29,10,9,10,10,9,9,9,9,9,,,,,,,29,27,28
0,0,33,12,61,46.0,68,35,0,0,,,0,0,0,0,139,8,Yana Santos,Karol Rosa,0.0,0.0,29.0,20.0,65.0,45.0,48.0,42.0,0.0,0.0,,,0.0,0.0,0.0,0.0,94.0,8.0,0.0,0.0,33.0,34.0,56.0,56.0,35.0,40.0,0.0,1.0,,100.0,0.0,0.0,0.0,0.0,0.0,25.0,33,12,11,7,17,4,5,1,14,8,19,4,0,0,29.0,20.0,5.0,14.0,13.0,5.0,11.0,1.0,18.0,16.0,11.0,4.0,0.0,0.0,33.0,34.0,4.0,17.0,12.0,9.0,17.0,8.0,31.0,24.0,2.0,4.0,0.0,6.0,1,S-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,9,9,9,9,9,,,,,,,29,28,28,9,9,9,9,10,10,10,10,10,,,,,,,28,29,29
0,0,3,10,20,45.0,18,31,0,0,0.0,,0,0,1,0,82,128,Ivana Petrovic,Luana Carolina,0.0,0.0,13.0,16.0,40.0,42.0,28.0,47.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,118.0,84.0,0.0,0.0,6.0,15.0,40.0,55.0,31.0,34.0,1.0,1.0,33.0,50.0,2.0,0.0,0.0,0.0,51.0,133.0,3,10,3,3,0,0,0,7,3,6,0,0,0,4,13.0,16.0,9.0,6.0,4.0,7.0,0.0,3.0,7.0,11.0,4.0,5.0,2.0,0.0,6.0,15.0,3.0,9.0,1.0,4.0,2.0,2.0,6.0,10.0,0.0,2.0,0.0,3.0,1,U-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,10,10,10,9,,,,,,,28,28,28,10,10,10,10,10,9,9,9,10,,,,,,,29,29,29
0,0,17,13,54,44.0,17,13,0,0,0.0,,0,0,0,0,7,0,Alexandr Romanov,Blagoy Ivanov,0.0,0.0,22.0,9.0,53.0,32.0,38.0,9.0,1.0,0.0,100.0,,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,46.0,22.0,56.0,43.0,49.0,22.0,1.0,0.0,100.0,,0.0,0.0,0.0,0.0,63.0,0.0,17,13,5,11,5,1,7,1,16,13,1,0,0,0,22.0,9.0,12.0,7.0,2.0,2.0,8.0,0.0,18.0,9.0,1.0,0.0,3.0,0.0,46.0,22.0,35.0,20.0,4.0,2.0,7.0,0.0,40.0,22.0,2.0,0.0,4.0,0.0,0,U-DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,,,,,,,30,30,30,9,9,9,9,9,9,9,9,9,,,,,,,27,27,27
